Unnamed: 0,zipcode,household median,percent of household,family median,percent family,non-family median,percent non-family,weighted median,city,city rank,rank
38,15054,0,16.7,31912,21.2,0,12.1,6765.344,Langeloth,1.0,1668.0
39,15055,55156,43.2,77813,40.6,40375,48.0,74799.47,Lawrence,1.0,370.0
40,15056,46346,39.0,61371,28.2,37857,48.0,53552.922,Leetsdale,1.0,980.0
41,15057,84588,29.5,111618,31.0,39327,25.3,69504.771,McDonald,1.0,496.0
42,15059,60955,34.8,60429,38.1,28452,28.3,52287.705,Midland,1.0,1032.0
43,15060,54219,37.8,58654,35.4,51083,43.6,63530.486,Midway,1.0,646.0
44,15061,60865,28.2,76755,28.5,29980,27.7,47343.565,Monaca,1.0,1217.0
45,15062,45658,37.8,73375,40.4,24244,34.0,55145.184,Monessen,1.0,921.0
46,15063,59572,33.2,74738,32.7,31250,34.0,54842.23,Monongahela,1.0,935.0
47,15064,67167,48.3,127639,49.2,66406,32.8,117021.21699999999,Morgan,1.0,47.0
48,15065,56929,33.7,73737,35.4,34330,30.4,55724.291,Natrona Heights,1.0,905.0
49,15066,48456,30.0,64042,31.7,27594,27.2,42343.682,New Brighton,1.0,1346.0
50,15067,46315,50.2,57794,53.2,33875,44.3,69003.163,New Eagle,1.0,507.0
51,15068,52793,34.0,73178,33.7,28919,32.8,52096.038,New Kensington,1.0,1038.0
52,15071,83454,29.3,108464,30.4,47212,27.3,70313.954,Oakdale,1.0,474.0
53,15074,44530,35.5,54354,38.4,25116,29.1,43988.842000000004,Rochester,1.0,1310.0
54,15076,65365,22.1,67083,26.7,0,14.3,32356.826,Russellton,1.0,1531.0
55,15077,77125,54.1,83250,57.1,0,45.5,89260.375,Shippingport,1.0,176.0
56,15078,65813,51.1,65813,44.8,0,100.0,63114.667,Slovan,1.0,661.0
57,15081,66023,47.0,74821,49.5,51429,40.0,88638.805,South Heights,1.0,180.0
58,15082,0,36.6,61181,73.2,0,0.0,44784.492,Sturgeon,1.0,1292.0
59,15083,47813,28.3,60139,37.9,30042,17.3,41521.026,Sutersville,1.0,1367.0
60,15084,46126,34.1,67222,34.0,25727,32.8,47022.902,Tarentum,1.0,1223.0
61,15085,65918,24.5,72173,22.9,27042,27.9,40222.245,Trafford,1.0,1406.0
62,15086,0,27.1,132917,15.4,0,49.2,20469.218,Warrendale,1.0,1626.0
63,15087,77500,28.9,77500,28.9,0,0.0,44795.0,Webster,1.0,1291.0
64,15088,43750,27.6,45795,21.1,30625,39.2,33742.745,West Elizabeth,1.0,1513.0
65,15089,56000,35.4,65800,34.6,26473,36.5,52253.445,West Newton,1.0,1033.0
66,15090,121353,30.2,150263,32.0,57488,26.0,99679.646,Wexford,1.0,99.0
67,15101,85097,30.0,114271,35.0,44755,20.2,74564.46,Allison Park,1.0,375.0
68,15102,86171,30.0,109769,31.2,37141,25.7,69644.465,Bethel Park,1.0,492.0
69,15104,31318,44.7,42367,54.6,22790,35.7,45267.558,Braddock,1.0,1277.0
70,15106,59072,36.2,87705,36.3,41292,35.1,67714.47099999999,Carnegie,1.0,538.0
71,15108,75499,31.4,97815,32.3,45936,28.4,68346.755,Coraopolis,1.0,521.0
72,15110,35264,39.9,37486,43.3,24441,34.3,38685.037000000004,Duquesne,1.0,1433.0
73,15112,36891,47.9,60875,60.9,31269,36.7,66219.387,East Pittsburgh,1.0,575.0
74,15116,77026,27.3,94912,29.4,42047,22.3,58308.707,Glenshaw,1.0,803.0
75,15120,42918,37.5,63730,40.7,26938,33.5,51056.59,Homestead,1.0,1082.0
76,15122,53887,30.4,71778,25.0,32624,34.0,45418.308,West Mifflin,1.0,1271.0
77,15126,83827,29.1,116173,30.3,48068,27.7,72908.912,Imperial,1.0,409.0
78,15129,74038,34.9,90357,39.2,43148,25.7,72348.242,South Park Township,1.0,421.0
79,15131,50855,32.7,71929,35.0,34125,29.7,51939.86,McKeesport,3.0,1046.0
80,15132,30026,37.1,40202,39.1,23136,34.9,34933.092000000004,McKeesport,4.0,1495.0
81,15133,59537,36.0,75150,29.5,40729,43.2,61197.498,McKeesport,1.0,725.0
82,15135,64231,32.3,81000,34.6,36241,28.1,58956.334,McKeesport,2.0,789.0
83,15136,52168,33.2,67458,32.6,34666,32.4,50542.867999999995,McKees Rocks,1.0,1101.0
84,15137,44774,42.4,65592,35.8,32101,47.6,57746.187999999995,North Versailles,1.0,823.0
85,15139,67944,29.7,117500,33.8,41287,25.7,70505.12700000001,Oakmont,1.0,471.0
86,15140,34882,35.6,40938,42.5,25192,27.7,36794.826,Pitcairn,1.0,1466.0
87,15142,"250,000+",18.4,"250,000+",7.6,"250,000+",54.5,201250.0,Presto,1.0,5.0
88,15143,102958,30.4,128364,30.7,55313,29.6,87079.62800000001,Sewickley,1.0,196.0
89,15144,58965,30.8,71715,34.1,33616,25.2,51087.267,Springdale,1.0,1080.0
90,15145,35250,43.7,45276,56.7,24790,24.0,47025.342000000004,Turtle Creek,1.0,1222.0
91,15146,70700,31.2,89315,33.6,42153,26.4,63196.63200000001,Monroeville,1.0,659.0
92,15147,54842,36.3,71092,39.5,40064,32.7,61089.914000000004,Verona,1.0,726.0
93,15148,34464,39.4,49408,36.8,20037,41.0,39976.13,Wilmerding,1.0,1414.0
94,15201,72244,28.2,81629,36.7,65370,23.5,65692.601,Pittsburgh,16.0,585.0
95,15202,53292,28.0,86623,30.3,36415,26.0,50636.429000000004,Pittsburgh,32.0,1095.0
96,15203,49231,30.2,50080,36.5,47923,28.0,46565.402,Pittsburgh,33.0,1238.0
97,15204,41531,33.3,48345,36.4,25436,28.5,38676.663,Pittsburgh,37.0,1434.0
98,15205,61888,29.8,82540,32.8,40588,26.1,56109.212,Pittsburgh,23.0,893.0
99,15206,52450,33.9,83750,37.8,36005,31.1,60635.605,Pittsburgh,21.0,743.0
100,15207,43764,35.2,63982,32.7,26300,35.3,45610.942,Pittsburgh,35.0,1267.0
101,15208,48664,44.3,61100,43.1,34522,43.5,62909.322,Pittsburgh,18.0,667.0
102,15209,62826,30.1,79826,32.4,42005,26.6,55947.58,Pittsburgh,24.0,897.0
103,15210,39848,45.5,46138,50.2,30218,39.0,53077.136,Pittsburgh,29.0,997.0
104,15211,60611,39.5,75074,37.4,52018,40.3,72982.275,Pittsburgh,7.0,406.0
105,15212,48304,34.3,66616,40.8,33584,29.7,53722.047999999995,Pittsburgh,28.0,973.0
106,15213,23342,34.4,59113,31.5,18615,35.1,33184.108,Pittsburgh,39.0,1520.0
107,15214,50167,35.2,62030,35.0,37679,34.0,52180.144,Pittsburgh,30.0,1035.0
108,15215,76752,29.5,107554,31.3,45825,24.9,67716.667,Pittsburgh,11.0,537.0
109,15216,63094,33.1,88412,37.8,42150,27.9,66063.7,Pittsburgh,15.0,580.0
110,15217,74744,27.8,123815,32.0,38330,23.7,69483.842,Pittsburgh,10.0,497.0
111,15218,59542,35.3,91213,38.5,37795,30.6,67700.601,Pittsburgh,12.0,539.0
112,15219,27949,40.6,37877,46.0,22132,35.4,36605.442,Pittsburgh,38.0,1468.0
113,15220,72645,28.7,90759,29.0,51003,26.5,60685.02,Pittsburgh,20.0,740.0
114,15221,43907,37.1,65808,40.3,32324,34.0,53800.280999999995,Pittsburgh,27.0,967.0
115,15222,105054,27.4,188214,15.8,84893,31.2,85009.224,Pittsburgh,4.0,220.0
116,15223,50528,33.6,67838,32.6,35717,34.0,51236.376,Pittsburgh,31.0,1073.0
117,15224,52356,28.2,69529,28.1,43393,27.2,46104.93700000001,Pittsburgh,34.0,1252.0
118,15225,46563,31.7,64226,29.2,37862,27.4,43888.651,Pittsburgh,36.0,1311.0
119,15226,64181,32.7,82832,32.2,47856,33.1,63499.427,Pittsburgh,17.0,648.0
120,15227,63415,36.0,78888,40.8,41945,28.7,67053.91900000001,Pittsburgh,14.0,552.0
121,15228,118371,31.3,147083,30.2,46550,33.3,96970.339,Pittsburgh,3.0,118.0
122,15229,71971,36.1,95648,36.8,41950,33.3,75149.345,Pittsburgh,5.0,366.0
123,15232,59139,27.2,98313,25.8,46321,27.3,54096.195,Pittsburgh,26.0,955.0
124,15233,49375,39.6,68403,32.0,33083,41.8,55270.154,Pittsburgh,25.0,916.0
125,15234,66792,31.0,79930,29.3,46211,29.3,57664.833,Pittsburgh,22.0,826.0
126,15235,56566,38.4,67856,40.1,39258,34.6,62514.867999999995,Pittsburgh,19.0,680.0
127,15236,69805,33.2,91053,33.2,41727,32.8,67091.312,Pittsburgh,13.0,551.0
128,15237,87964,26.9,122862,25.9,50059,28.3,69650.271,Pittsburgh,9.0,491.0
129,15238,102038,32.5,150259,35.2,45558,26.3,98035.272,Pittsburgh,2.0,108.0
130,15239,81657,32.0,93587,32.4,43590,30.6,69790.968,Pittsburgh,8.0,489.0
131,15241,119421,33.1,143029,34.9,42027,26.2,100456.546,Pittsburgh,1.0,94.0
132,15243,93449,29.5,116516,27.3,44654,33.9,74514.02900000001,Pittsburgh,6.0,379.0
133,15301,61031,45.3,79409,44.6,39085,45.6,80886.217,Washington,1.0,265.0
134,15310,68750,36.0,88750,44.0,58375,11.1,70279.625,Aleppo,1.0,475.0
135,15311,85655,31.7,87232,28.9,41458,47.1,71889.401,Amity,1.0,438.0
136,15312,65625,36.6,71941,35.2,43657,38.0,65931.642,Avella,1.0,582.0
137,15313,58125,53.3,71250,51.0,23750,60.6,81710.625,Beallsville,1.0,255.0
138,15314,53068,38.0,69728,42.9,26979,29.2,57957.02,Bentleyville,1.0,813.0
139,15315,48333,30.2,48958,35.2,0,10.9,31829.78200000001,Bobtown,1.0,1534.0
140,15317,91586,33.7,109355,34.1,47746,31.4,83146.781,Canonsburg,1.0,237.0
141,15320,52861,32.9,76769,34.8,18258,29.8,49547.765,Carmichaels,1.0,1135.0
142,15321,99514,26.4,107813,25.1,44306,30.8,66979.007,Cecil,1.0,555.0
143,15322,63750,41.3,74327,42.6,25000,38.8,67692.052,Clarksville,1.0,540.0
144,15323,67981,44.0,77536,44.2,36000,42.7,79554.552,Claysville,1.0,286.0
145,15324,31991,52.1,44375,54.7,25875,43.1,52092.560999999994,Cokeburg,1.0,1039.0
146,15325,32206,33.7,0,41.9,19764,20.9,14984.098,Crucible,1.0,1644.0
147,15327,62222,33.0,69306,37.3,33295,20.5,53209.873,Dilliner,1.0,993.0
148,15329,65000,46.1,74375,49.9,47031,30.6,81469.61099999999,Prosperity,1.0,259.0
149,15330,84444,36.1,92308,36.7,48929,30.5,79284.665,Eighty Four,1.0,291.0
150,15331,42375,33.1,50724,45.3,33750,10.8,40649.097,Ellsworth,1.0,1393.0
151,15332,64129,33.3,88494,41.7,36739,19.4,65384.320999999996,Finleyville,1.0,594.0
152,15333,39938,42.5,62404,47.1,16250,32.6,51663.434,Fredericktown,1.0,1053.0
153,15334,78158,59.3,78553,66.7,0,0.0,98742.545,Garards Fort,1.0,104.0
154,15337,64722,44.3,66250,40.6,35000,47.2,72089.34599999999,Graysville,1.0,431.0
155,15338,49615,34.3,48846,34.5,23500,33.3,41695.315,Greensboro,1.0,1361.0
156,15340,79728,30.3,104896,31.7,0,24.0,57409.615999999995,Hickory,1.0,838.0
157,15341,64063,37.2,64563,39.6,54464,20.4,60509.04,Holbrook,1.0,745.0
158,15342,70339,35.8,90017,41.1,37939,24.9,71625.16,Houston,1.0,441.0
159,15344,61898,37.4,81100,37.8,31469,36.5,65291.837,Jefferson,1.0,596.0
160,15345,53571,42.9,60000,41.4,27055,41.6,59076.83900000001,Marianna,1.0,784.0
161,15346,49500,39.0,65000,37.5,30833,45.2,57616.515999999996,Mather,1.0,829.0
162,15347,89141,65.9,0,76.3,0,0.0,58743.919,Meadow Lands,1.0,793.0
163,15348,31042,23.1,0,11.8,40250,35.5,21459.452,Millsboro,1.0,1618.0
164,15349,60962,36.9,75909,46.9,23750,16.7,62062.549000000006,Mount Morris,1.0,699.0
165,15350,56346,15.3,64219,25.7,49886,0.0,25125.221,Muse,1.0,1590.0
166,15351,58342,25.5,58061,36.3,0,0.0,35953.352999999996,Nemacolin,1.0,1481.0
167,15352,52516,41.7,49375,30.6,52649,57.5,67281.09700000001,New Freeport,1.0,547.0
168,15353,47679,57.7,106250,63.9,32014,51.4,111859.729,Nineveh,1.0,58.0
169,15357,66250,25.4,73500,29.1,43056,15.4,44846.624,Rices Landing,1.0,1288.0
170,15358,73158,43.0,85323,51.6,23571,28.1,82108.05900000001,Richeyville,1.0,251.0
171,15359,85192,42.7,0,30.9,0,66.7,36376.984,Rogersville,1.0,1474.0
172,15360,77321,35.8,87292,36.4,39375,33.1,72488.33099999999,Scenery Hill,1.0,415.0
173,15362,62639,38.9,79688,49.5,29315,22.3,70349.37599999999,Spraggs,1.0,473.0
174,15363,46694,41.8,46169,37.6,0,50.7,36877.636,Strabane,1.0,1463.0
175,15364,66250,46.6,85804,37.4,34313,71.8,87599.93,Sycamore,1.0,190.0
176,15366,33957,89.0,150474,78.7,33633,91.4,179385.33,Van Voorhis,1.0,7.0
177,15367,150800,27.6,159883,25.6,41920,45.1,101456.76800000001,Venetia,1.0,87.0
178,15368,34464,29.3,52750,35.2,25455,15.4,32586.022,Vestaburg,1.0,1529.0
179,15370,54797,33.7,73170,33.9,27321,33.2,52341.791,Waynesburg,1.0,1028.0
180,15376,63125,41.2,85625,42.1,32250,38.7,74536.375,West Alexander,1.0,377.0
181,15377,68438,54.4,87708,55.2,0,51.1,85645.088,West Finley,1.0,208.0
182,15379,63750,19.0,59583,24.1,42813,7.7,29768.604,West Middletown,1.0,1559.0
183,15380,49915,29.7,89375,29.9,47778,29.4,55594.612,Wind Ridge,1.0,909.0
184,15401,48176,31.5,65556,31.7,27249,30.6,44294.886,Uniontown,2.0,1300.0
185,15410,65119,32.8,67440,41.7,0,20.5,49481.512,Adah,1.0,1139.0
186,15411,51375,37.6,61250,42.2,25658,27.9,52323.082,Addison,1.0,1029.0
187,15412,49821,14.8,59821,20.0,26250,9.6,21857.708,Allenport,1.0,1614.0
188,15413,0,49.7,0,80.7,20988,10.6,2224.728,Allison,1.0,1675.0
189,15417,47829,27.0,57679,26.4,25602,26.7,34976.82,Brownsville,1.0,1494.0
190,15419,36122,31.2,54500,26.8,22396,34.6,33625.08,California,1.0,1515.0
191,15420,37188,10.8,0,0.0,0,36.4,4016.304,Cardale,1.0,1674.0
192,15422,0,26.6,116071,55.3,13807,0.0,64187.263,New Salem,1.0,631.0
193,15423,48050,29.6,66324,33.9,24659,16.1,40676.735,Coal Center,1.0,1391.0
194,15424,35268,42.2,49375,45.6,21098,36.3,45056.67,Confluence,1.0,1282.0
195,15425,45931,34.4,58664,35.5,20686,30.8,42997.272000000004,Connellsville,1.0,1330.0
196,15427,44688,29.9,61429,33.8,28125,20.5,39890.339,Daisytown,1.0,1415.0
197,15428,62361,35.2,72083,35.7,30536,33.3,57853.191,Dawson,1.0,819.0
198,15430,50750,40.3,51500,38.5,0,66.7,40279.75,Dickerson Run,1.0,1403.0
199,15431,51840,41.7,61413,42.8,30263,32.5,57737.519,Dunbar,1.0,824.0
200,15432,50417,39.5,59500,39.3,27143,39.8,54101.129,Dunlevy,1.0,954.0
201,15433,36458,43.3,45938,51.9,15800,21.4,43009.335999999996,East Millsboro,1.0,1329.0
202,15434,46500,25.0,52500,13.4,28000,44.0,30980.0,Elco,1.0,1547.0
203,15435,48611,34.1,51473,40.2,26853,16.3,41645.536,Fairbank,1.0,1363.0
204,15436,47875,31.1,52434,37.4,36818,19.4,41642.133,Fairchance,1.0,1364.0
205,15437,66950,35.2,83068,33.0,65549,37.4,75494.166,Farmington,1.0,356.0
206,15438,64219,26.9,85066,22.7,37917,37.3,50727.934,Fayette City,1.0,1093.0
207,15440,61786,8.1,61607,10.2,0,0.0,11288.58,Gibbon Glade,1.0,1659.0
208,15442,41797,20.1,64107,16.6,19750,27.6,24493.959,Grindstone,1.0,1597.0
209,15444,0,14.1,101090,23.0,0,0.0,23250.7,Hiller,1.0,1610.0
210,15445,49891,30.5,79267,32.7,31215,27.9,49846.049000000006,Hopwood,1.0,1122.0
211,15446,0,81.3,0,45.7,41250,66.7,27513.75,Indian Head,1.0,1572.0
212,15448,64028,64.5,65938,51.5,0,100.0,75256.13,Jacobs Creek,1.0,362.0
213,15449,56667,43.6,60104,36.1,0,100.0,46404.356,Smock,1.0,1246.0
214,15450,120833,17.4,0,51.6,0,0.0,21024.942000000006,La Belle,1.0,1622.0
215,15451,29361,52.3,29792,62.9,0,31.2,34094.971,Lake Lynn,1.0,1507.0
216,15454,38816,60.4,0,44.1,0,100.0,23444.863999999998,McClellandtown,2.0,1607.0
217,15455,61750,23.9,63750,33.3,0,0.0,35987.0,Vanderbilt,2.0,1480.0
218,15456,38534,36.1,48803,38.2,25476,32.2,40756.792,Lemont Furnace,1.0,1390.0
219,15458,63117,35.6,63524,30.5,29891,51.2,57148.664000000004,McClellandtown,1.0,845.0
220,15459,67386,40.3,77734,44.8,31029,32.5,72065.815,Markleysburg,1.0,434.0
221,15460,0,36.4,82574,28.9,19286,70.0,37364.086,Smithfield,2.0,1455.0
222,15461,43510,25.7,58721,25.2,28661,26.6,33603.587999999996,Masontown,1.0,1516.0
223,15462,0,12.4,78203,20.3,0,0.0,15875.208999999999,Melcroft,1.0,1640.0
224,15464,48750,41.3,99306,28.6,35551,60.4,70008.07,Mill Run,1.0,483.0
225,15466,52500,36.5,52404,38.2,67563,32.8,61341.492,Newell,1.0,720.0
226,15467,58250,20.3,60833,22.7,34750,13.3,30255.591,New Geneva,1.0,1554.0
227,15468,56019,23.2,62879,27.0,27619,10.7,32928.971,New Salem,2.0,1525.0
228,15469,36329,34.1,42115,40.3,25917,19.1,34310.681000000004,Normalville,1.0,1503.0
229,15470,75750,39.2,92794,30.5,30625,64.5,77749.295,Ohiopyle,1.0,321.0
230,15472,43158,41.1,44309,67.3,0,0.0,47557.895,Uniontown,1.0,1207.0
231,15473,63710,28.5,74750,29.7,30625,24.9,47983.725,Perryopolis,1.0,1194.0
232,15474,52946,35.3,55781,30.8,32438,28.7,45180.192,Point Marion,1.0,1280.0
233,15475,42563,46.5,52679,44.9,26750,43.7,55134.416,Republic,1.0,922.0
234,15477,52188,20.2,72125,27.1,43938,13.9,36195.233,Roscoe,1.0,1475.0
235,15478,59469,29.5,70787,31.6,34477,24.9,48496.82,Smithfield,1.0,1174.0
236,15479,71086,40.4,71947,37.9,34167,52.6,73958.49900000001,Smithton,1.0,390.0
237,15480,32536,22.3,56014,26.8,20532,16.5,25655.06,Smock,2.0,1587.0
238,15482,38365,18.3,0,21.6,33304,17.1,12715.778999999999,Perryopolis,2.0,1654.0
239,15483,42414,31.2,61250,39.6,40163,18.7,44998.64900000001,Stockdale,1.0,1284.0
240,15484,81117,0.0,81117,0.0,0,0.0,0.0,Uledi,1.0,1684.0
241,15486,56202,45.4,76544,47.0,29514,43.0,74182.408,Vanderbilt,1.0,388.0
242,15489,29556,61.8,0,61.8,27222,61.8,35088.804,Uniontown,3.0,1493.0
243,15490,0,37.7,42813,37.0,0,38.6,15840.81,White,1.0,1641.0
244,15501,51524,33.3,62437,30.8,30354,34.9,46981.63400000001,Somerset,1.0,1225.0
245,15502,93056,45.5,93194,39.1,0,52.4,78779.334,Hidden Valley,1.0,300.0
246,15520,57083,36.5,57083,36.5,0,0.0,41670.59,Acosta,1.0,1362.0
247,15521,47298,37.6,53942,35.8,21420,43.5,46412.984000000004,Alum Bank,1.0,1244.0
248,15522,54975,35.7,71544,36.2,28938,34.7,55566.489,Bedford,1.0,910.0
249,15530,58480,28.4,67287,29.3,31313,26.1,44496.10400000001,Berlin,1.0,1295.0
250,15531,42644,37.1,52857,38.7,22380,32.7,43594.843,Boswell,1.0,1318.0
251,15532,51250,23.0,32083,18.9,91111,29.2,44455.599,Meyersdale,2.0,1297.0
252,15533,42717,41.9,46111,46.6,26029,34.0,48236.00900000001,Breezewood,1.0,1187.0
253,15534,51193,36.6,52266,48.1,0,19.1,43876.584,Buffalo Mills,1.0,1312.0
254,15535,48750,40.0,59405,40.4,29643,39.1,55090.032999999996,Clearville,1.0,924.0
255,15536,60833,42.5,66667,47.0,26250,32.6,65745.015,Crystal Spring,1.0,584.0
256,15537,47180,33.2,64239,34.6,27196,30.6,46212.43,Everett,1.0,1249.0
257,15538,53250,24.7,61146,26.7,32500,18.5,35491.232,Fairhope Township,1.0,1486.0
258,15539,0,22.4,91875,26.9,0,0.0,24714.375,Fishertown,1.0,1596.0
259,15540,58199,44.9,58125,47.4,30625,36.7,64921.975999999995,Fort Hill,1.0,615.0
260,15541,54926,32.6,69274,34.6,25938,24.3,48177.614,Friedens,1.0,1190.0
261,15542,46442,36.1,46406,36.1,27857,23.6,40092.38,Garrett,1.0,1409.0
262,15544,63065,0.0,63065,0.0,0,0.0,0.0,Gray,1.0,1684.0
263,15545,49052,33.2,56974,32.4,23750,31.0,42107.34,Hyndman,1.0,1351.0
264,15546,0,0.0,85673,0.0,0,0.0,0.0,Jenners,1.0,1684.0
265,15547,51198,35.2,51555,34.8,41875,36.8,51372.835999999996,Jennerstown,1.0,1067.0
266,15550,52589,37.7,68289,37.0,27083,39.1,55682.435999999994,Manns Choice,1.0,907.0
267,15551,55673,36.3,60991,37.3,27143,33.8,52133.276,Markleton,1.0,1036.0
268,15552,50457,35.7,59071,37.2,36080,32.4,51677.481,Meyersdale,1.0,1052.0
269,15554,53077,38.7,78952,47.0,18487,27.4,62713.677,New Paris,1.0,676.0
270,15555,50833,20.0,65417,31.6,0,0.0,30838.37200000001,Quecreek,1.0,1548.0
271,15557,47781,34.5,62798,38.1,28667,27.5,48293.907999999996,Rockwood,1.0,1185.0
272,15558,57614,28.8,65156,29.9,19563,21.8,40339.21,Salisbury,1.0,1402.0
273,15559,57656,37.1,72396,32.3,30625,48.0,59474.28400000001,Schellsburg,1.0,770.0
274,15560,34028,40.4,51250,50.0,24688,23.8,45248.056,Shanksville,1.0,1278.0
275,15561,46083,14.9,65833,9.7,33162,28.0,22537.528,Quecreek,2.0,1612.0
276,15562,101875,17.3,103125,18.2,0,0.0,36393.125,Springs,1.0,1472.0
277,15563,51167,33.3,63938,27.8,22031,45.4,44815.449,Indian Lake,1.0,1290.0
278,15564,53125,39.1,102813,15.4,14167,70.0,46521.977,Wellersburg,1.0,1240.0
279,15601,60984,29.8,85592,29.4,31987,29.8,52869.405999999995,Greensburg,1.0,1003.0
280,15610,61351,37.0,67614,35.2,45180,41.8,65385.238,Acme,1.0,593.0
281,15611,31793,49.0,64542,48.2,26875,49.4,59964.06400000001,Adamsburg,1.0,758.0
282,15612,0,29.4,74583,42.2,0,10.3,31474.026,Alverton,1.0,1542.0
283,15613,60702,32.2,72128,28.4,31357,41.9,53168.97900000001,Apollo,1.0,994.0
284,15615,106719,81.3,106719,81.3,0,0.0,173525.09399999998,Ardara,1.0,9.0
285,15617,55000,48.0,65833,35.4,0,62.9,49704.88200000001,Arona,1.0,1127.0
286,15618,48362,29.7,59362,28.5,24083,31.1,38771.497,Avonmore,1.0,1431.0
287,15620,41607,49.3,61875,57.5,26607,45.3,68143.34700000001,Bradenville,1.0,526.0
288,15622,93669,31.2,96786,38.7,38839,11.7,71225.073,Champion,1.0,453.0
289,15623,47359,20.2,45547,26.9,0,0.0,21818.661,Claridge,1.0,1615.0
290,15624,0,24.2,127833,57.7,16210,0.0,73759.641,Crabtree,1.0,392.0
291,15626,65287,27.8,110216,24.9,21685,33.0,52749.62,Delmont,1.0,1011.0
292,15627,52712,36.9,63520,39.7,32326,33.0,55335.748,Derry,2.0,914.0
293,15628,53601,53.1,54353,50.9,47000,57.0,82917.808,Donegal,1.0,240.0
294,15629,48090,28.5,48309,36.3,34286,5.6,33161.833,Vandergrift,2.0,1521.0
295,15631,45900,27.7,55938,27.4,28828,28.2,36170.808,Everson,1.0,1476.0
296,15632,77261,32.0,111841,29.3,35902,36.7,70668.967,Export,1.0,467.0
297,15633,36797,32.0,0,67.0,20156,0.0,11775.04,Forbes Road,1.0,1657.0
298,15634,0,29.0,65987,40.0,13971,24.6,29831.666,Grapeville,1.0,1557.0
299,15635,0,32.9,0,100.0,26250,24.3,6378.75,Hannastown,1.0,1669.0
300,15636,122679,34.0,133306,34.0,0,33.8,87034.9,Harrison City,1.0,197.0
301,15637,64038,39.6,75595,42.3,20250,30.4,63491.733,Herminie,2.0,649.0
302,15638,56250,0.0,0,0.0,0,0.0,0.0,Hostetter,1.0,1684.0
303,15639,66698,32.3,67261,30.4,32422,36.0,53662.718,Hunker,1.0,976.0
304,15640,86850,61.6,89219,59.4,20833,69.6,120995.454,Herminie,1.0,42.0
305,15641,48068,32.8,65673,35.3,23333,17.7,43078.81400000001,Hyde Park,1.0,1328.0
306,15642,74035,31.3,96751,31.5,37284,30.7,65095.708,Irwin,1.0,608.0
307,15644,55564,32.1,73349,28.5,28770,36.5,49241.559,Jeannette,1.0,1152.0
308,15646,69286,31.7,80568,34.7,0,0.0,49920.758,Jones Mills,1.0,1118.0
309,15647,66705,30.8,59196,41.9,0,0.0,45348.264,Larimer,1.0,1274.0
310,15650,56735,38.7,74953,33.4,32227,46.4,61944.075,Latrobe,1.0,705.0
311,15656,65074,37.6,74620,38.7,38889,35.0,66956.914,Leechburg,1.0,557.0
312,15658,67425,37.4,84681,37.3,35268,34.1,68829.351,Ligonier,1.0,509.0
313,15660,70000,67.6,88875,51.0,45598,100.0,138244.25,Lowber,1.0,26.0
314,15661,65649,49.8,65841,48.6,25385,56.0,78907.52799999999,Loyalhanna,1.0,298.0
315,15662,68187,93.6,68413,93.1,0,48.6,127515.535,Luxor,1.0,35.0
316,15663,51875,37.6,59167,38.8,28750,35.1,52553.045999999995,Madison,1.0,1017.0
317,15665,46328,18.8,62569,10.4,0,32.4,15216.84,Manor,1.0,1643.0
318,15666,50877,40.2,64116,39.2,29012,41.4,57596.99400000001,Mount Pleasant,1.0,832.0
319,15668,101938,26.2,117390,24.1,50341,33.6,71913.322,Murrysville,1.0,437.0
320,15670,78500,35.0,80323,35.0,37647,32.0,67635.09,New Alexandria,1.0,542.0
321,15671,64375,22.5,66223,28.2,45508,0.0,33159.261,New Derry,1.0,1522.0
322,15672,67039,39.6,80379,42.4,32500,33.1,71385.64,New Stanton,1.0,446.0
323,15673,52361,35.2,74511,39.1,31161,30.3,57006.655999999995,North Apollo,1.0,852.0
324,15675,54750,24.7,60455,28.8,40417,6.8,33682.646,Penn,1.0,1514.0
325,15676,0,44.9,109514,40.6,25313,55.3,58460.773,Pleasant Unity,1.0,799.0
326,15677,36786,41.1,73214,23.7,35682,57.3,52916.55,Rector,1.0,1002.0
327,15678,77609,19.7,79674,22.2,50972,10.7,38430.605,Rillton,1.0,1442.0
328,15679,51109,29.3,74643,33.3,0,24.0,39831.056000000004,Ruffs Dale,1.0,1416.0
329,15680,38457,20.5,42500,63.2,38457,0.0,34743.685,Avonmore,2.0,1497.0
330,15681,58371,34.9,73188,34.8,27375,34.5,55285.278,Saltsburg,1.0,915.0
331,15683,51239,30.5,70833,24.5,20500,38.9,40956.48,Scottdale,1.0,1383.0
332,15684,48750,10.5,48525,12.4,58558,0.0,11135.85,Slickville,1.0,1661.0
333,15686,63995,47.4,63614,50.2,108167,23.7,87903.43699999999,Spring Church,1.0,187.0
334,15687,54643,41.6,60577,44.7,23333,34.3,57812.626,Stahlstown,1.0,820.0
335,15688,68714,59.9,93684,43.8,33750,87.8,111825.778,Tarrs,1.0,59.0
336,15689,82396,29.1,81146,34.3,0,0.0,51810.31400000001,Mount Pleasant,2.0,1050.0
337,15690,47042,37.2,53409,36.7,32273,38.0,49364.467000000004,Vandergrift,1.0,1144.0
338,15692,41806,38.6,0,49.4,41979,23.8,26128.118,Westmoreland City,1.0,1583.0
339,15696,52500,47.4,60625,52.4,43750,33.3,71221.25,Youngstown,1.0,454.0
