Unnamed: 0,zipcode,household median,percent of household,family median,percent family,non-family median,percent non-family,weighted median,city,city rank,rank
855,17036,84820,33.5,117460,34.0,52656,31.6,84990.396,Hummelstown,1.0,221.0
856,17037,49464,37.7,51818,36.4,28750,41.9,49555.93,Ickesburg,1.0,1134.0
857,17038,62669,46.5,87647,44.4,30856,49.1,83206.649,Jonestown,1.0,234.0
858,17040,73828,44.6,81442,46.9,49167,37.5,89561.211,Landisburg,1.0,173.0
859,17041,159766,69.9,159766,69.9,0,0.0,223352.86800000002,Palmyra,1.0,3.0
860,17042,60078,38.7,76359,41.3,37126,32.4,66815.277,Lebanon,4.0,561.0
861,17043,63857,30.8,83147,31.6,49837,30.1,60943.345,Lemoyne,1.0,729.0
862,17044,50836,29.7,56567,28.4,30452,28.4,39811.687999999995,Lewistown,1.0,1419.0
863,17045,64537,32.4,79875,30.2,32917,36.0,56882.358,Liverpool,1.0,859.0
864,17046,50033,51.5,56543,51.3,27551,47.9,67970.483,Lebanon,3.0,530.0
865,17047,66397,36.8,74893,35.6,22019,39.0,59683.414000000004,Loysville,1.0,763.0
866,17048,54494,50.2,64196,47.4,34583,54.5,76632.62700000001,Lykens,1.0,334.0
867,17049,70701,24.3,73380,28.2,15833,10.8,39583.467000000004,McAlisterville,1.0,1424.0
868,17050,91989,33.5,112135,32.3,53203,36.2,86295.406,Mechanicsburg,1.0,202.0
869,17051,54508,30.5,63317,31.3,33162,27.5,45562.710999999996,McVeytown,1.0,1269.0
870,17052,60000,42.0,71250,44.3,24583,34.5,65244.885,Mapleton,1.0,601.0
871,17053,70857,35.0,89063,35.6,39750,34.1,70061.128,Marysville,1.0,481.0
872,17055,77729,31.4,95122,29.0,44380,35.2,67614.046,Mechanicsburg,2.0,543.0
873,17056,76875,31.7,0,30.0,0,33.3,24369.375,Mifflintown,2.0,1599.0
874,17057,66271,41.1,80305,44.8,39891,34.7,77056.198,Middletown,1.0,330.0
875,17058,50500,33.6,58750,32.7,21000,35.5,43634.25,Mifflin,1.0,1315.0
876,17059,46926,31.9,71227,30.3,31667,34.6,47507.957,Mifflintown,1.0,1209.0
877,17060,51833,34.9,61875,34.9,24479,35.0,48251.742,Mill Creek,1.0,1186.0
878,17061,52716,36.0,71786,39.8,33250,27.6,56725.587999999996,Millersburg,1.0,868.0
879,17062,73036,31.5,91563,30.7,33036,33.6,62216.277,Millerstown,1.0,693.0
880,17063,50673,44.7,64934,42.0,27031,50.3,63519.70400000001,Milroy,1.0,647.0
881,17064,96250,80.7,98958,82.9,87981,69.2,220592.78399999999,Mount Gretna,1.0,4.0
882,17065,58696,33.6,78125,34.1,35982,32.9,58200.559,Mount Holly Springs,1.0,806.0
883,17066,42863,32.0,57049,33.3,21419,27.9,38689.378,Mount Union,2.0,1432.0
884,17067,63924,39.9,74710,40.0,38765,37.5,69926.55099999999,Myerstown,1.0,485.0
885,17068,72969,33.2,76667,29.2,37143,46.5,63883.967000000004,New Bloomfield,1.0,637.0
886,17069,0,40.0,69375,46.7,18542,28.0,37589.885,New Buffalo,1.0,1451.0
887,17070,72430,28.9,88357,31.1,46071,24.3,59606.55,New Cumberland,1.0,766.0
888,17071,68750,32.6,103750,38.5,0,25.0,62356.25,New Germantown,1.0,687.0
889,17072,0,49.6,41250,50.0,0,49.3,20625.0,Mechanicsburg,3.0,1625.0
890,17073,76052,42.3,77160,43.6,33103,36.8,77993.66,Newmanstown,1.0,316.0
891,17074,66377,33.7,76935,35.5,27336,26.0,56788.334,Newport,1.0,865.0
892,17075,65000,23.5,76875,22.0,30625,33.3,42385.625,Mount Union,1.0,1344.0
893,17078,66460,38.4,82758,36.3,36978,39.7,70242.06,Palmyra,2.0,476.0
894,17080,52188,50.5,65000,61.5,38438,24.2,75631.936,Pillow,1.0,353.0
895,17081,37604,48.7,55568,38.6,28580,56.5,55910.096,Carlisle,2.0,898.0
896,17082,60284,38.8,71371,39.1,30750,37.7,62889.003,Port Royal,1.0,668.0
897,17083,133606,25.6,133606,25.6,0,0.0,68406.272,Lebanon,2.0,519.0
898,17084,53772,36.3,63566,39.1,31902,28.8,53561.318,Reedsville,1.0,979.0
