city,zip,no_of_competitors,rank_in_city,overall_rank
LEBANON,17042.0,5,2.0,5.0
LEBANON,17046.0,1,1.0,1.0
LEESPORT,19533.0,1,1.0,1.0
LEHIGHTON,18235.0,2,1.0,2.0
LEMOYNE,17043.0,1,1.0,1.0
LEVITTOWN,19054.0,1,1.0,1.0
LEVITTOWN,19057.0,2,2.0,2.0
LEWISBURG,17837.0,1,1.0,1.0
LEWISTOWN,17044.0,1,1.0,1.0
LIMERICK,19468.0,2,1.0,2.0
LITITZ,17543.0,3,1.0,3.0
LOCK-HAVEN,17745.0,1,1.0,1.0
MACUNGIE,18062.0,1,1.0,1.0
MALVERN,19355.0,1,1.0,1.0
MANCHESTER,17345.0,1,1.0,1.0
MANHEIM,17545.0,1,1.0,1.0
MANSFIELD,16933.0,1,1.0,1.0
MAPLE-GLEN,19002.0,1,1.0,1.0
MARS,16046.0,2,1.0,2.0
MASONTOWN,15461.0,1,1.0,1.0
MCKEES ROCKS,15136.0,1,1.0,1.0
MCKEES-ROCKS,15136.0,1,1.0,1.0
MCKEESPORT,15132.0,2,1.0,2.0
MCMURRAY,15317.0,2,1.0,2.0
MEADVILLE,16335.0,2,1.0,2.0
MECHANICSBURG,17050.0,6,2.0,6.0
MECHANICSBURG,17055.0,3,1.0,3.0
MEDIA,19063.0,2,1.0,2.0
MELROSE PARK,19027.0,1,1.0,1.0
MIDDLETOWN,17057.0,2,1.0,2.0
MIDLAND,15059.0,1,1.0,1.0
MIFFLINBURG,17844.0,1,1.0,1.0
MILLERSBURG,17061.0,1,1.0,1.0
MILTON,17847.0,1,1.0,1.0
MONACA,15061.0,2,1.0,2.0
MONESSEN,15062.0,1,1.0,1.0
MONONGAHELA,15063.0,1,1.0,1.0
MONROEVILLE,15146.0,4,1.0,4.0
MONTROSE,18801.0,1,1.0,1.0
MORGANTOWN,19543.0,1,1.0,1.0
MORRISVILLE,19067.0,2,1.0,2.0
MOUNT PLEASANT,15666.0,1,1.0,1.0
MOUNT-CARMEL,17851.0,1,1.0,1.0
MOUNT-JOY,17552.0,1,1.0,1.0
MOUNT-LEBANON,15228.0,1,1.0,1.0
MOUNT-PLEASANT,15666.0,1,1.0,1.0
MUNCY,17756.0,2,1.0,2.0
NANTICOKE,18634.0,2,1.0,2.0
NANTY GLO,15943.0,1,1.0,1.0
NARBERTH,19072.0,1,1.0,1.0
NATRONA-HEIGHTS,15065.0,1,1.0,1.0
NAZARETH,18064.0,1,1.0,1.0
NESQUEHONING,18240.0,1,1.0,1.0
NEW BETHLEHEM,16242.0,1,1.0,1.0
NEW BRIGHTON,15066.0,1,1.0,1.0
NEW BRITAIN,18901.0,1,1.0,1.0
NEW CASTLE,16101.0,1,1.0,1.0
NEW CASTLE,16105.0,1,1.0,1.0
NEW-CASTLE,16101.0,1,1.0,1.0
NEW-CASTLE,16105.0,1,1.0,1.0
NEW-CUMBERLAND,17070.0,1,1.0,1.0
NEW-HOLLAND,17557.0,1,1.0,1.0
NEW-HOPE,18938.0,1,1.0,1.0
NEW-KENSINGTON,15068.0,1,1.0,1.0
NEWTOWN,18940.0,3,1.0,3.0
NEWTOWN-SQUARE,19073.0,1,1.0,1.0
NORRISTOWN,19401.0,2,1.0,2.0
NORTH HUNTINGDON,15642.0,2,1.0,2.0
NORTH-EAST,16428.0,1,1.0,1.0
NORTH-HUNTINGDON,15642.0,1,1.0,1.0
NORTH-WALES,19454.0,1,1.0,1.0
NORTHAMPTON,18067.0,1,1.0,1.0
NORTHERN CAMBRIA,15714.0,1,1.0,1.0
NORTHUMBERLAND,17857.0,1,1.0,1.0
NOTTINGHAM,19362.0,1,1.0,1.0
OIL CITY,16301.0,1,1.0,1.0
OIL-CITY,16301.0,1,1.0,1.0
OLD-FORGE,18518.0,1,1.0,1.0
OLYPHANT,18447.0,1,1.0,1.0
OTTSVILLE,18942.0,1,1.0,1.0
OXFORD,19363.0,1,1.0,1.0
PALMERTON,18071.0,1,1.0,1.0
PALMYRA,17078.0,1,1.0,1.0
PAOLI,19301.0,1,1.0,1.0
PARKESBURG,19365.0,1,1.0,1.0
PENN HILLS,15235.0,1,1.0,1.0
PENNSBURG,18073.0,2,1.0,2.0
PERKASIE,18944.0,3,1.0,3.0
