city,zipcode,population,young_population,old_population,income_median,no_of_competitors,weighted_scores,rank
Hanover,17331,52219,3251,10391,58694.084,5.0,203.5,133.0
Ardmore,19003,13641,980,2085,92791.46,2.0,203.75,134.0
Fairless Hills,19030,11989,618,2257,99194.295,2.0,204.5,135.5
Berwyn,19312,11338,428,2218,125944.98,1.0,204.5,135.5
Pittsburgh,15243,12991,674,3798,74514.02900000001,7.0,205.0,137.0
Monroeville,15146,27541,1256,6157,63196.63200000001,4.0,205.75,138.0
Conshohocken,19428,18215,712,2338,91140.10699999999,1.0,207.25,139.0
Oxford,19363,17170,1185,2389,81731.291,3.0,207.75,140.0
Pittsburgh,15239,20523,978,4119,69790.968,1.0,210.0,141.0
Chester Springs,19425,16445,983,1417,141781.576,1.0,212.0,142.0
Landenberg,19350,11606,697,1837,113521.67300000001,1.0,212.25,143.0
Murrysville,15668,13469,568,4063,71913.322,4.0,213.25,144.5
Hatfield,19440,19218,920,3103,75814.159,1.0,213.25,144.5
Carnegie,15106,19438,1153,4345,67714.47099999999,5.0,216.25,146.0
Narberth,19072,10008,575,1888,114325.095,1.0,216.75,147.5
Pottstown,19464,47040,3016,6874,58531.9,4.0,216.75,147.5
Philadelphia,19106,13536,362,2521,91691.85,2.0,217.0,149.0
Allentown,18103,46884,2923,7910,57955.662000000004,6.0,218.5,150.0
Mars,16046,17044,1108,1728,93203.004,2.0,218.75,151.0
Latrobe,15650,26975,1037,6265,61944.075,5.0,219.0,152.5
Philadelphia,19138,33711,1595,5008,63830.097,1.0,219.0,152.5
West Grove,19390,13821,863,2697,78549.272,1.0,220.75,154.0
Wilkes-Barre,18702,40105,2487,6679,59034.898,1.0,222.0,155.0
Philadelphia,19149,58811,4818,6344,57153.392,3.0,222.75,156.0
Coopersburg,18036,14399,602,3075,76212.284,1.0,223.75,157.5
Chadds Ford Historic District,19317,10043,446,1942,110391.59,3.0,223.75,157.5
Pittsburgh,15229,14378,1243,2592,75149.345,1.0,224.25,159.0
Philadelphia,19118,10826,643,2473,82482.821,1.0,224.5,160.0
Easton,18040,16790,691,3451,72409.065,4.0,226.5,161.0
Willow Grove,19090,18202,1226,2862,72167.712,1.0,230.25,162.0
Levittown,19056,16153,901,2353,78304.866,2.0,232.0,163.0
Mount Joy,17552,20369,1482,3630,65610.161,1.0,233.75,164.0
Pennsburg,18073,10920,772,1933,88211.685,2.0,236.25,165.5
Elizabethtown,17022,31045,1296,6309,59023.582,1.0,236.25,165.5
Abington,19001,16871,1242,2528,72539.759,3.0,237.0,167.0
Dover,17315,26160,1388,5721,59508.3,5.0,239.5,168.0
Jamison,18929,10136,808,1189,174633.515,5.0,240.25,169.5
Avondale,19311,9541,780,1234,138589.022,3.0,240.25,169.5
Boyertown,19512,16736,890,3569,68230.277,1.0,240.5,171.0
Dresher,19025,6545,609,1433,125897.20800000001,2.0,241.5,172.0
Clifton Heights,19018,23009,1590,3501,64545.902,1.0,244.25,173.0
Pittsburgh,15216,22670,1449,3328,66063.7,3.0,245.25,174.0
Kutztown,19530,15939,787,2201,78917.76299999999,2.0,245.75,175.0
Darby Township,19023,22087,1051,2519,72879.827,3.0,247.25,176.0
Harrisburg,17104,19765,2665,2233,65146.108,2.0,247.5,177.0
Pittsburgh,15206,29197,1610,4833,60635.605,7.0,249.5,178.5
Swarthmore,19081,10075,575,1756,93371.985,1.0,249.5,178.5
Glenolden,19036,12984,1120,1867,78098.409,6.0,250.75,180.0
Moscow,18444,13938,493,2862,73258.306,1.0,251.0,181.5
Schwenksville,19473,17910,454,2227,83183.828,1.0,251.0,181.5
Kingston,18704,30181,1973,6094,56584.962,5.0,252.25,183.5
Willow Street,17584,10669,408,2821,74378.772,1.0,252.25,183.5
Greensburg,15601,56328,2043,13771,52869.405999999995,8.0,253.75,185.0
Lehighton,18235,18904,856,3873,65041.45,2.0,254.0,186.0
Red Lion,17356,21784,1124,3609,64945.801,2.0,254.5,187.0
Hawley,18428,11668,322,3375,70543.24799999999,4.0,254.75,188.0
Butler,16001,38363,1790,7983,54430.528,7.0,258.25,189.0
Leesport,19533,8378,277,1770,97524.41699999999,1.0,259.0,190.5
Wilkes-Barre,18706,15861,1241,3128,66065.946,1.0,259.0,190.5
Horsham,19044,16216,973,1923,77128.359,1.0,259.25,192.0
East Stroudsburg,18302,17499,936,2791,69405.459,3.0,259.75,193.0
Erie,16506,24163,1435,5167,58460.484000000004,1.0,260.0,194.0
Whitehall Township,18052,27896,1364,5247,58171.333,2.0,261.0,195.0
Ridley Park,19078,11379,653,1920,81253.87400000001,1.0,262.25,196.0
Wyncote,19095,7515,261,1811,94066.573,5.0,264.0,197.0
Bangor,18013,18880,844,3428,65367.172,1.0,266.25,198.0
Indiana,15701,33460,1214,5907,56272.475,2.0,267.5,199.0
Milford,18337,14192,547,2856,70022.665,2.0,271.0,200.0
York,17408,23402,1231,4856,57892.383,1.0,271.25,201.0
Philadelphia,19126,16609,702,2896,68652.806,1.0,271.5,202.0
Quarryville,17566,12147,1057,2116,71262.049,1.0,273.5,203.0
Temple,19560,8170,340,1667,91445.602,1.0,274.25,204.0
Beaver Falls,15010,27205,1519,5815,54991.685999999994,6.0,274.5,205.0
Chester,19013,35113,2680,4594,55065.503,5.0,275.25,206.0
Pittsburgh,15221,29451,1531,6478,53800.280999999995,6.0,276.75,207.0
Gettysburg,17325,28563,1247,6371,54139.389,2.0,277.0,208.0
York,17404,37280,2509,5278,53963.3,3.0,277.25,209.0
York,17403,39217,1827,6023,53664.248,6.0,280.75,210.0
Philadelphia,19120,74270,6498,8595,49832.56200000001,2.0,283.25,211.5
Erie,16509,26838,1180,5828,54780.375,2.0,283.25,211.5
Paoli,19301,6689,314,1521,93843.57699999999,4.0,284.25,213.5
New Kensington,15068,37442,1668,7547,52096.038,1.0,284.25,213.5
Hollidaysburg,16648,14374,608,3766,62248.041,1.0,285.5,215.0
Blairsville,15717,10003,447,2491,71544.372,1.0,287.5,216.0
Emmaus,18049,17601,946,3143,63174.492999999995,2.0,288.5,217.0
Greencastle,17225,20576,1430,3419,59307.15,2.0,291.0,218.0
Clairton,15025,15911,887,3485,61641.12,1.0,291.75,219.0
Hershey,17033,17969,643,3433,62813.005999999994,2.0,292.5,220.0
Pottsville,17901,22878,1156,4747,56146.982,4.0,295.5,221.0
Beaver,15009,15114,789,3718,60148.18900000001,1.0,296.5,222.0
Northampton,18067,17608,580,3692,61387.65900000001,2.0,297.5,223.0
Montoursville,17754,12392,796,2847,64182.373,1.0,298.25,224.0
Hellertown,18055,12000,525,2748,66143.77,2.0,298.5,225.0
Bethlehem,18018,31240,1576,5393,52764.932,4.0,302.5,227.0
Erie,16505,15615,573,3950,59132.763,2.0,302.5,227.0
Pittsburgh,15218,13495,630,2419,67700.601,1.0,302.5,227.0
Pittsburgh,15226,13925,742,2863,63499.427,1.0,304.5,229.0
Scranton,18505,21671,1445,4096,55855.191,3.0,304.75,230.0
Philadelphia,19124,71858,6074,6598,47770.242999999995,1.0,305.5,231.0
Reading,19601,33382,2967,3712,53131.96,1.0,306.0,232.0
Shippensburg,17257,29164,1239,5363,53426.424000000006,2.0,306.5,233.0
Reading,19604,29069,1986,2623,57957.622,1.0,306.75,234.0
Columbia,17512,17802,1160,4035,56004.432,2.0,308.0,235.0
Spring Grove,17362,13088,764,2959,62199.44,1.0,308.75,236.0
Mount Pleasant,15666,15750,818,3874,57596.99400000001,1.0,309.75,237.0
Philadelphia,19142,29864,2095,2421,57967.667,1.0,310.0,238.0
Spring City,19475,11457,865,1567,72104.984,1.0,311.75,239.0
State College,16801,45527,1565,5132,52363.894,5.0,313.0,240.0
Philadelphia,19144,44968,3252,5994,49115.504,4.0,314.0,241.5
Carlisle,17013,36627,2254,7186,48710.232,5.0,314.0,241.5
New Castle,16105,15147,715,3744,57932.277,3.0,314.25,243.0
South Park Township,15129,10363,449,1913,72348.242,1.0,316.0,244.0
Pittsburgh,15205,21379,1511,3458,56109.212,4.0,316.75,245.0
Royersford,19468,25284,1344,3827,55072.93900000001,5.0,317.0,246.0
Ellwood City,16117,16285,938,3493,57768.682,2.0,317.25,247.0
Pittsburgh,15212,27067,1527,4177,53722.047999999995,2.0,319.75,248.0
Belle Vernon,15012,15243,796,3595,57607.84099999999,2.0,320.25,249.0
Lake Ariel,18436,12960,744,3122,60008.667,1.0,320.5,250.0
Edinboro,16412,10041,465,1481,77594.036,1.0,321.0,251.0
Schnecksville,18078,8050,261,1601,79262.437,1.0,321.75,252.5
Pittsburgh,15211,10457,448,1776,72982.275,1.0,321.75,252.5
Kittanning,16201,16645,971,3569,56815.356,1.0,322.0,254.0
Glenshaw,15116,14088,659,3492,58308.707,5.0,322.5,255.0
Duncannon,17020,9122,520,1804,71967.2,1.0,323.75,256.0
Tunkhannock,18657,11575,580,2449,64879.794,2.0,324.0,257.0
Scranton,18512,11550,366,2159,69270.557,2.0,325.25,258.0
Wind Gap,18091,6155,274,1467,79477.938,1.0,326.0,259.0
Nottingham,19362,5844,329,1201,87470.53,1.0,326.25,260.0
Shrewsbury,17361,6544,262,1971,72068.00200000001,2.0,327.25,261.0
Etters,17319,11440,710,1576,71313.79400000001,1.0,328.25,262.0
Pipersville,18947,6356,48,1294,94217.756,1.0,334.5,263.0
Philadelphia,19139,45198,3489,5904,45889.876,5.0,336.75,264.0
Williamsport,17701,43068,2219,7841,44970.447,4.0,338.5,265.0
Bellefonte,16823,30978,1198,5663,49351.861,2.0,338.75,266.0
New Cumberland,17070,16609,646,2788,59606.55,2.0,341.0,267.0
Export,15632,8316,386,1741,70668.967,1.0,341.5,268.0
Halifax,17032,7930,523,1567,71143.495,1.0,342.5,269.0
Pittston,18640,16917,768,3350,56381.670999999995,7.0,343.25,270.0
Scranton,18509,13786,650,2294,62772.21599999999,1.0,343.75,271.5
Cheltenham,19012,6749,254,1104,88823.136,1.0,343.75,271.5
Scranton,18504,20632,1291,3308,54011.223,6.0,345.0,273.0
Sharon Hill,19079,9068,559,1115,76974.413,1.0,346.25,274.0
Warren,16365,17675,797,4199,52423.709,1.0,346.5,275.0
Altoona,16601,31825,1654,6225,46157.83,2.0,348.0,276.5
DuBois,15801,18871,923,3716,53539.82,1.0,348.0,276.5
Folsom,19033,8360,598,1150,74260.432,1.0,349.5,278.0
Lewisburg,17837,19665,833,4362,51324.107,1.0,351.25,279.0
Blandon,19510,8949,325,1094,82461.843,1.0,351.75,280.0
Pittsburgh,15210,26875,1193,3496,53077.136,3.0,352.0,281.5
Flourtown,19031,4390,220,1022,90618.207,4.0,352.0,281.5
Enola,17025,16511,562,2575,59910.462,2.0,352.5,283.0
Erie,16510,25299,1694,4340,49451.162000000004,3.0,353.5,284.0
Homestead,15120,18424,1592,3760,51056.59,5.0,353.75,285.0
Pittsburgh,15201,12922,485,1901,65692.601,1.0,355.0,286.5
Montrose,18801,8254,374,1881,67261.488,1.0,355.0,286.5
Bethlehem,18015,32936,1899,4438,48581.195,2.0,356.0,288.0
Uniontown,15401,30401,1637,6997,44294.886,5.0,356.75,289.5
Ambridge,15003,11212,569,2090,63394.935,2.0,356.75,289.5
Cheswick,15024,8555,430,1920,66136.756,1.0,357.0,291.0
Old Forge,18518,7909,544,1625,67559.777,1.0,358.25,292.5
Harrisburg,17113,10309,666,1380,68914.161,1.0,358.25,292.5
McKees Rocks,15136,22183,1506,3794,50542.867999999995,3.0,359.0,294.0
Berwick,18603,19441,718,4348,51097.941,2.0,359.25,295.0
Danville,17821,18773,1126,3896,51155.794,1.0,359.5,296.0
Altoona,16602,28609,1691,5004,47452.532999999996,4.0,359.75,297.0
Frackville,17931,8728,168,1252,79714.617,1.0,360.0,298.0
Pittsburgh,15234,13711,452,2846,57664.833,2.0,360.5,299.0
Shavertown,18708,8056,495,1867,65212.053,1.0,361.5,300.0
Philadelphia,19122,21067,904,1816,62239.998,1.0,362.25,301.0
Philadelphia,19134,61615,5205,5246,40641.261,1.0,363.75,302.0
Williamsport,17702,10568,616,2131,61615.124,1.0,366.5,303.0
Allentown,18102,50702,4418,4512,41744.25700000001,2.0,367.0,304.0
Hermitage,16148,15949,582,4234,51276.61,4.0,367.25,305.0
Hamburg,19526,11415,380,2280,62010.50700000001,1.0,368.5,306.0
Oakmont,15139,6504,300,1521,70505.12700000001,5.0,369.0,307.0
Nanticoke,18634,13212,560,2667,57025.403,2.0,369.5,308.5
Croydon,19021,9714,518,1175,71652.902,1.0,369.5,308.5
Towanda,18848,8703,601,2146,60778.527,3.0,372.25,310.5
Elizabeth,15037,10239,463,2494,58874.722,1.0,372.25,310.5
New Castle,16101,31405,1582,7093,41366.82,2.0,372.75,312.0
Girard,16417,8141,431,1469,68441.129,1.0,374.25,313.0
Clearfield,16830,13551,804,3103,53494.108,2.0,375.0,314.0
Hazleton,18201,26978,1584,4349,47075.530999999995,2.0,375.5,315.0
Olyphant,18447,10503,642,2495,56962.582,1.0,376.0,316.0
Meadville,16335,27120,1268,5864,43498.63,4.0,376.25,317.0
North East,16428,12313,706,2100,59605.174000000006,1.0,376.5,318.5
Zelienople,16063,7248,443,1640,65590.914,5.0,376.5,318.5
Dillsburg,17019,19159,886,3424,51994.654,1.0,376.75,320.0
Apollo,15613,13122,553,3353,53168.97900000001,1.0,377.75,321.0
Pittston,18643,13049,661,2770,55353.232,1.0,378.0,322.0
Bedford,15522,11196,407,2938,55566.489,1.0,379.25,323.5
Jersey Shore,17740,12306,680,2285,57755.047,1.0,379.25,323.5
Muncy,17756,12305,622,2204,58838.434,2.0,381.25,325.0
Jeannette,15644,18550,807,4148,49241.559,1.0,381.75,326.0
Hazleton,18202,11527,684,2628,55182.88400000001,1.0,382.75,327.0
Waynesboro,17268,29153,1727,4959,44137.472,2.0,383.25,328.0
Bloomsburg,17815,29705,1361,4645,45803.725,2.0,383.75,329.0
Northumberland,17857,7281,302,1953,62466.183,1.0,388.5,330.0
Johnstown,15905,19676,861,4651,46319.587999999996,2.0,392.25,331.0
Pittsburgh,15202,19261,919,3336,50636.429000000004,1.0,392.5,332.0
Punxsutawney,15767,14229,818,3218,51033.418,1.0,396.5,333.5
Carbondale,18407,13629,703,2936,52465.944,2.0,396.5,333.5
Chambersburg,17201,26362,1317,5572,40630.652,6.0,400.25,335.0
Natrona Heights,15065,11280,472,2475,55724.291,2.0,401.75,336.0
Erie,16508,16021,1042,2622,51634.114,4.0,404.0,337.5
Lock Haven,17745,18195,788,3310,49734.167,1.0,404.0,337.5
Parkesburg,19365,7496,582,979,68295.167,1.0,404.75,339.0
Ashland,17921,7208,261,1287,68347.181,1.0,405.25,340.0
Palmerton,18071,10362,366,2005,59045.66,1.0,406.0,341.0
Allentown,18106,6890,356,1719,61657.31200000001,4.0,407.75,342.0
Effort,18330,8635,355,867,73532.655,1.0,413.25,343.5
Monongahela,15063,11511,433,2441,54842.23,1.0,413.25,343.5
Tyrone,16686,12879,722,2353,53346.817,1.0,413.75,345.0
Huntingdon,16652,18469,604,3480,49014.90900000001,1.0,414.75,346.0
Freeland,18224,6113,299,1464,63352.684,1.0,415.25,347.0
West Mifflin,15122,19500,881,3942,45418.308,1.0,415.5,348.5
Waynesburg,15370,13994,554,2654,52341.791,2.0,415.5,348.5
Mercer,16137,12769,545,2413,53759.612,1.0,416.75,350.0
Woodlyn,19094,4280,187,641,92217.321,1.0,421.75,351.0
Somerset,15501,16150,853,3468,46981.63400000001,1.0,422.0,352.0
Selinsgrove,17870,15273,680,2925,49870.59,2.0,422.5,353.0
Philadelphia,19102,5335,33,896,82575.416,1.0,423.75,354.0
Archbald,18403,6768,394,1148,65533.505999999994,1.0,424.0,355.0
Sunbury,17801,15583,655,3242,48351.187999999995,1.0,425.5,356.0
Morgantown,19543,5816,222,685,82900.744,1.0,425.75,357.0
Reading,19611,10707,898,1752,55029.977999999996,1.0,426.0,358.0
Ottsville,18942,2805,36,823,85973.775,1.0,428.5,359.0
Connellsville,15425,18905,1011,3856,42997.272000000004,1.0,429.25,360.0
Plymouth,18651,8987,625,1650,56950.218,1.0,431.0,361.0
Lewistown,17044,21013,1133,4490,39811.687999999995,1.0,431.5,362.0
Grove City,16127,15263,535,2646,50736.275,1.0,432.25,363.0
Prospect Park,19076,6559,447,996,66120.57,2.0,433.0,364.0
Stewartstown,17363,8772,400,1609,58084.058,1.0,436.5,365.0
Allentown,18109,17425,1242,2380,48374.21400000001,6.0,438.25,366.0
Shermans Dale,17090,5636,354,1225,62434.59,1.0,442.0,367.0
Honesdale,18431,12133,507,3027,47903.78599999999,2.0,445.5,368.5
St. Marys,15857,12433,626,3048,46932.858,1.0,445.5,368.5
Slippery Rock,16057,14434,370,1583,57652.095,1.0,446.75,370.5
Tannersville,18372,2926,217,584,84031.285,1.0,446.75,370.5
Shickshinny,18655,5441,176,1340,62784.13200000001,1.0,448.0,372.0
Landisville,17538,7311,476,1409,57941.376,1.0,449.0,373.0
Johnstown,15904,16347,708,4361,38516.271,3.0,449.25,374.0
Reading,19602,16410,1420,1797,48663.304000000004,2.0,449.75,375.0
New Oxford,17350,12830,675,2878,46920.489,1.0,452.25,376.0
Millersburg,17061,7190,411,1591,56725.587999999996,1.0,453.25,377.0
Ebensburg,15931,9257,480,2151,52315.88,1.0,453.75,378.0
McKeesport,15132,20915,1109,4193,34933.092000000004,2.0,456.75,379.0
New Wilmington,16142,6349,413,1128,61319.422,1.0,457.0,380.0
Monessen,15062,7287,424,1670,55145.184,1.0,457.5,381.0
Philadelphia,19104,52480,2224,3771,30548.901,4.0,458.25,382.0
Greenville,16125,17056,900,4070,36711.291,1.0,459.0,383.0
Womelsdorf,19567,5628,351,922,64948.037000000004,2.0,461.75,384.5
McKeesport,15131,7960,228,2276,51939.86,1.0,461.75,384.5
State College,16803,24582,947,3001,42923.323,3.0,462.25,386.0
Wyoming,18644,7715,469,1834,52096.367999999995,1.0,474.5,387.0
Elizabethville,17023,3405,172,591,78475.506,1.0,475.0,388.0
Erie,16504,16571,817,2942,41360.093,2.0,477.0,389.0
Philadelphia,19107,14689,227,1485,56154.71900000001,6.0,479.75,390.0
Monaca,15061,12178,789,2151,47343.565,2.0,480.75,391.5
Wellsboro,16901,10136,447,2731,45046.584,2.0,480.75,391.5
Pittsburgh,15207,10522,754,2354,45610.942,1.0,481.0,393.5
